"ASX code","Company name","Listing date","GICs industry group","Market Cap"
"14D","1414 DEGREES LIMITED","2018-09-12","Capital Goods",25038807
"1AD","ADALTA LIMITED","2016-08-22","Pharmaceuticals, Biotechnology & Life Sciences",28195651
"1AG","ALTERRA LIMITED","2008-05-16","Commercial & Professional Services",12685709
"1ST","1ST GROUP LIMITED","2015-06-09","Health Care Equipment & Services",9341572
"29M","29METALS LIMITED","2021-07-02","Materials",1057001000
"2BE","TUBI LIMITED","2019-06-14","Energy","N/A"
"360","LIFE360 INC.","2019-05-10","Software & Services",1285460760
"3DA","AMAERO INTERNATIONAL LTD","2019-12-06","Capital Goods",121210946
"3DP","POINTERRA LIMITED","2008-03-27","Software & Services",321957947
"3MF","3D METALFORGE LIMITED","2021-03-02","Commercial & Professional Services",28517893
"3PL","3P LEARNING LIMITED..","2014-07-09","Consumer Services",346987633
"4DS","4DS MEMORY LIMITED","2010-12-09","Semiconductors & Semiconductor Equipment",191537524
"4DX","4DMEDICAL LIMITED","2020-08-07","Health Care Equipment & Services",416705949
"5GG","PENTANET LIMITED","2021-01-29","Telecommunication Services",175404639
"5GN","5G NETWORKS LIMITED","2017-11-17","Telecommunication Services",107405456
"88E","88 ENERGY LIMITED","2000-01-20","Energy",446970072
"8CO","8COMMON LIMITED","2014-08-27","Software & Services",22056073
"8EC","8IP EMERGING COMPANIES LIMITED","2015-12-01","Not Applic","N/A"
"8IH","8I HOLDINGS LTD","2014-12-17","Diversified Financials",86822182
"8VI","8VI HOLDINGS LIMITED","2015-12-16","Consumer Services",228821879
"92E","92 ENERGY LIMITED","2021-04-15","Energy",17869950
"99L","99 LOYALTY LIMITED.","2013-10-08","Software & Services",69580966
"9SP","9 SPOKES INTERNATIONAL LIMITED","2016-06-09","Software & Services",25386733
"A1G","AFRICAN GOLD LTD.","2019-02-14","Materials",20566765
"A1M","AIC MINES LIMITED","1993-11-04","Materials",18553055
"A2B","A2B AUSTRALIA LIMITED","1999-12-14","Transportation",152946967
"A2M","THE A2 MILK COMPANY LIMITED","2015-03-31","Food, Beverage & Tobacco",5166704991
"A3D","AURORA LABS LIMITED","2016-08-16","Capital Goods",11161442
"A4N","ALPHA HPA LIMITED","2007-10-22","Materials",392181061
"A8G","AUSTRALASIAN GOLD LIMITED","2021-05-13","Materials",5923442
"AAC","AUSTRALIAN AGRICULTURAL COMPANY LIMITED.","2001-08-10","Food, Beverage & Tobacco",840859612
"AAJ","ARUMA RESOURCES LIMITED","2010-07-23","Materials",5933844
"AAP","AUSTRALIAN AGRICULTURAL PROJECTS LIMITED","2004-01-07","Food, Beverage & Tobacco",9761332
"AAR","ANGLO AUSTRALIAN RESOURCES NL","1986-11-13","Materials",46501981
"AAU","ANTILLES GOLD LIMITED","1993-11-25","Materials",18424367
"ABA","AUSWIDE BANK LTD","1994-09-19","Banks",267474889
"ABB","AUSSIE BROADBAND LIMITED","2020-10-16","Class Pend",517724871
"ABC","ADBRI LIMITED","1962-05-31","Materials",2231986238
"ABL","ABILENE OIL AND GAS LIMITED","1974-01-01","Energy","N/A"
"ABP","ABACUS PROPERTY GROUP","2002-11-14","Real Estate",2594935004
"ABR","AMERICAN PACIFIC BORATES LIMITED","2017-07-28","Materials",546802558
"ABV","ADVANCED BRAKING TECHNOLOGY LTD","2002-05-28","Automobiles & Components",15924248
"ABX","AUSTRALIAN BAUXITE LIMITED.","2009-12-24","Materials",18180431
"ABY","ADORE BEAUTY GROUP LIMITED","2020-10-23","Retailing",464975015
"AC8","AUSCANN GROUP HOLDINGS LTD","1989-05-03","Pharmaceuticals, Biotechnology & Life Sciences",46257447
"ACB","A-CAP ENERGY LIMITED","2006-05-19","Energy",48825552
"ACF","ACROW FORMWORK AND CONSTRUCTION SERVICES LIMITED","2008-06-27","Capital Goods",95396449
"ACL","AUSTRALIAN CLINICAL LABS LIMITED","2021-05-14","Health Care Equipment & Services",744767515
"ACP","AUDALIA RESOURCES LIMITED","2011-07-06","Materials",11766315
"ACQ","ACORN CAPITAL INVESTMENT FUND LIMITED","2014-05-01","Not Applic",101473980
"ACR","ACRUX LIMITED","2004-09-29","Pharmaceuticals, Biotechnology & Life Sciences",36829701
"ACS","ACCENT RESOURCES NL","2005-08-26","Materials",23767391
"ACU","ACUMENTIS GROUP LIMITED","2003-12-05","Real Estate",19875644
"ACW","ACTINOGEN MEDICAL LIMITED","2007-10-16","Pharmaceuticals, Biotechnology & Life Sciences",182661440
"AD1","AD1 HOLDINGS LIMITED","2016-06-23","Media & Entertainment",25387169
"AD8","AUDINATE GROUP LIMITED","2017-06-30","Technology Hardware & Equipment",752067743
"ADA","ADACEL TECHNOLOGIES LIMITED","1998-02-27","Software & Services",78530023
"ADD","ADAVALE RESOURCES LIMITED","1992-02-06","Energy",21511050
"ADH","ADAIRS LIMITED","2015-06-17","Retailing",676308300
"ADI","APN INDUSTRIA REIT","2013-12-03","Real Estate",716103475
"ADN","ANDROMEDA METALS LIMITED","1996-09-17","Materials",365912813
"ADO","ANTEOTECH LTD","2000-04-07","Pharmaceuticals, Biotechnology & Life Sciences",439474491
"ADR","ADHERIUM LIMITED","2015-08-26","Health Care Equipment & Services",36137463
"ADS","ADSLOT LTD.","1987-12-17","Software & Services",57478182
"ADT","ADRIATIC METALS PLC","2018-05-01","Materials",522816606
"ADV","ARDIDEN LTD","2005-10-25","Materials",18269511
"ADX","ADX ENERGY LTD","1987-01-29","Energy",19905480
"ADY","ADMIRALTY RESOURCES NL.","1983-12-01","Materials",23464425
"AE1","AERISON GROUP LTD","2021-07-12","Capital Goods",73424997
"AEE","AURA ENERGY LIMITED","2006-05-30","Energy","N/A"
"AEF","AUSTRALIAN ETHICAL INVESTMENT LIMITED","2002-12-17","Diversified Financials",904716461
"AEG","ABSOLUTE EQUITY PERFORMANCE FUND LIMITED","2015-12-16","Not Applic",102226351
"AEI","AERIS ENVIRONMENTAL LTD","2000-09-12","Commercial & Professional Services",46327289
"AER","AEERIS LTD","2015-04-01","Media & Entertainment",7196863
"AEV","AVENIRA LIMITED","2006-10-10","Materials",6039970
"AFA","ASF GROUP LIMITED","1985-05-29","Diversified Financials",38843588
"AFG","AUSTRALIAN FINANCE GROUP LTD","2015-05-22","Banks",703161878
"AFI","AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED","1962-06-30","Not Applic",9791111032
"AFL","AF LEGAL GROUP LTD","2003-09-19","Commercial & Professional Services",39825638
"AFP","AFT PHARMACEUTICALS LIMITED","2015-12-22","Pharmaceuticals, Biotechnology & Life Sciences",455353106
"AFR","AFRICAN ENERGY RESOURCES LIMITED","2007-04-18","Energy",13705134
"AFW","APPLYFLOW LIMITED","2010-11-30","Media & Entertainment",14494830
"AGC","AUSTRALIAN GOLD AND COPPER LTD","2021-01-20","Materials",14500000
"AGD","AUSTRAL GOLD LIMITED","1997-04-18","Materials",84357140
"AGE","ALLIGATOR ENERGY LIMITED","2011-02-03","Energy",76417052
"AGG","ANGLOGOLD ASHANTI LIMITED","1999-11-16","Materials",10300347945
"AGH","ALTHEA GROUP HOLDINGS LIMITED","2018-09-21","Pharmaceuticals, Biotechnology & Life Sciences",85271401
"AGI","AINSWORTH GAME TECHNOLOGY LIMITED","2001-12-17","Consumer Services",370473322
"AGJ","AGRICULTURAL LAND TRUST","2003-04-10","Real Estate","N/A"
"AGL","AGL ENERGY LIMITED.","2006-10-12","Utilities",4928197287
"AGN","ARGENICA THERAPEUTICS LIMITED","2021-06-11","Pharmaceuticals, Biotechnology & Life Sciences",14634450
"AGR","AGUIA RESOURCES LIMITED","2008-02-13","Materials",13681390
"AGS","ALLIANCE RESOURCES LIMITED","1994-10-19","Materials",31202570
"AGY","ARGOSY MINERALS LIMITED","1997-04-03","Materials",143781246
"AHC","AUSTCO HEALTHCARE LIMITED","2004-09-24","Health Care Equipment & Services",44049287
"AHF","AUSTRALIAN DAIRY NUTRITIONALS GROUP","2006-06-30","Food, Beverage & Tobacco",29098505
"AHI","ADVANCED HUMAN IMAGING LTD","2015-08-17","Software & Services",154035980
"AHK","ARK MINES LIMITED","2011-05-09","Materials","N/A"
"AHN","ATHENA RESOURCES LIMITED","2006-11-22","Materials","N/A"
"AHQ","ALLEGIANCE COAL LIMITED","2012-05-29","Materials",197699298
"AHX","APIAM ANIMAL HEALTH LIMITED","2015-12-15","Health Care Equipment & Services",126773277
"AIA","AUCKLAND INTERNATIONAL AIRPORT LIMITED","1999-02-22","Transportation",10190053868
"AIB","AURORA GLOBAL INCOME TRUST","2007-12-24","Not Applic",696679
"AII","ALMONTY INDUSTRIES INC.",,"Materials",0
"AIM","AI-MEDIA TECHNOLOGIES LIMITED","2020-09-15","Commercial & Professional Services",176976376
"AIQ","ALTERNATIVE INVESTMENT TRUST","2005-05-08","Not Applic",39213657
"AIR","ASTIVITA LIMITED","2009-12-16","Capital Goods",22376389
"AIS","AERIS RESOURCES LIMITED","2011-02-02","Materials",423674296
"AIV","ACTIVEX LIMITED","2006-04-11","Materials",30112555
"AIY","AUTHORISED INVESTMENT FUND LIMITED","1999-03-19","Not Applic","N/A"
"AIZ","AIR NEW ZEALAND LIMITED","1997-10-01","Transportation",1622509909
"AJJ","ASIAN AMERICAN MEDICAL GROUP LIMITED","2007-03-19","Health Care Equipment & Services",10432583
"AJL","AJ LUCAS GROUP LIMITED","1999-08-10","Capital Goods",39477459
"AJM","ALTURA MINING LIMITED","2001-01-08","Materials","N/A"
"AJQ","ARMOUR ENERGY LIMITED","2012-04-26","Energy",45235901
"AJX","ALEXIUM INTERNATIONAL GROUP LIMITED","1999-12-22","Materials",31369665
"AJY","ASAPLUS RESOURCES LIMITED","2012-11-16","Materials",8160000
"AKG","ACADEMIES AUSTRALASIA GROUP LIMITED","1977-06-01","Consumer Services",30627472
"AKL","AUCKLAND REAL ESTATE TRUST","2005-09-23","Real Estate",61863456
"AKM","ASPIRE MINING LIMITED","2007-02-06","Materials",37057500
"AKN","AUKING MINING LIMITED","2007-10-29","Materials",9947792
"AKO","AKORA RESOURCES LIMITED","2020-12-15","Materials",15259181
"AKP","AUDIO PIXELS HOLDINGS LIMITED","2004-12-24","Consumer Durables & Apparel",788639259
"AL3","AML3D LIMITED","2020-04-20","Capital Goods",33100845
"AL8","ALDERAN RESOURCES LIMITED","2017-06-09","Materials",17280583
"ALB","ALBION RESOURCES LIMITED","2021-04-30","Materials",7480000
"ALC","ALCIDION GROUP LIMITED","2011-06-24","Health Care Equipment & Services",382545204
"ALD","AMPOL LIMITED","1980-12-31","Energy",6722502213
"ALG","ARDENT LEISURE GROUP LIMITED","2018-11-30","Consumer Services",472510426
"ALI","ARGO GLOBAL LISTED INFRASTRUCTURE LIMITED","2015-07-03","Not Applic",332896137
"ALK","ALKANE RESOURCES LIMITED","1980-10-07","Materials",681720176
"ALL","ARISTOCRAT LEISURE LIMITED","1996-07-09","Consumer Services",26301633539
"ALQ","ALS LIMITED","1952-07-18","Commercial & Professional Services",5957958247
"ALT","ANALYTICA LIMITED","2000-10-25","Health Care Equipment & Services",11534503
"ALU","ALTIUM LIMITED","1999-08-04","Software & Services",4305597045
"ALX","ATLAS ARTERIA","2010-01-25","Transportation",5974683548
"ALY","ALCHEMY RESOURCES LIMITED","2007-11-26","Materials",10083652
"AM7","ARCADIA MINERALS LIMITED","2021-06-25","Materials",14535017
"AMA","AMA GROUP LIMITED","2006-08-31","Commercial & Professional Services",391923996
"AMC","AMCOR PLC","1969-08-28","Materials",23813190380
"AMD","ARROW MINERALS LTD","2005-10-28","Materials",10994291
"AME","ALTO METALS LIMITED","2012-12-20","Materials",40523376
"AMH","AMCIL LIMITED","2000-02-10","Not Applic",379403005
"AMI","AURELIA METALS LIMITED","2007-05-08","Materials",561806643
"AML","AEON METALS LIMITED.","2007-06-14","Materials",39299044
"AMN","AGRIMIN LIMITED","2007-10-09","Materials",105544483
"AMO","AMBERTECH LIMITED","2004-12-10","Technology Hardware & Equipment",17622982
"AMP","AMP LIMITED","1998-06-15","Diversified Financials",3494733263
"AMS","ATOMOS LIMITED","2018-12-28","Consumer Durables & Apparel",253440178
"AMT","ALLEGRA ORTHOPAEDICS LIMITED","2007-12-05","Health Care Equipment & Services",20891841
"AMX","AEROMETREX LIMITED","2019-12-10","Commercial & Professional Services",70800000
"AND","ANSARADA GROUP LIMITED","2020-02-14","Software & Services",122865174
"ANG","AUSTIN ENGINEERING LIMITED","2004-03-09","Capital Goods",98612634
"ANL","AMANI GOLD LIMITED","2006-12-14","Materials",18580495
"ANN","ANSELL LIMITED","1985-08-22","Health Care Equipment & Services",5261616699
"ANO","ADVANCE NANOTEK LIMITED","2005-02-24","Materials",225785034
"ANP","ANTISENSE THERAPEUTICS LIMITED","2001-12-20","Pharmaceuticals, Biotechnology & Life Sciences",109150505
"ANR","ANATARA LIFESCIENCES LTD","2014-10-16","Pharmaceuticals, Biotechnology & Life Sciences",11589356
"ANW","AUS TIN MINING LTD","2010-10-21","Materials",12716787
"ANX","ANAX METALS LIMITED","2004-06-15","Materials",24162688
"ANZ","AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED","1969-09-30","Banks",78716013565
"AO1","ASSETOWL LIMITED","2011-05-30","Software & Services",5713436
"AOA","AUSMON RESOURCES LIMITED","2009-03-31","Materials",3765797
"AOF","AUSTRALIAN UNITY OFFICE FUND","2016-06-20","Real Estate",381369574
"AON","APOLLO MINERALS LIMITED","2007-10-31","Materials",38627235
"AOP","APOLLO CONSOLIDATED LIMITED","2005-06-29","Materials",93318589
"AOU","AUROCH MINERALS LTD","2011-09-01","Materials",52269333
"APA","APA GROUP","2000-06-13","Utilities",11338779879
"APC","AUSTRALIAN POTASH LIMITED","2011-12-20","Materials",76282278
"APD","APN PROPERTY GROUP","2005-06-23","Real Estate",296593239
"APE","EAGERS AUTOMOTIVE LIMITED","1957-04-17","Retailing",3982463143
"APG","AUSTPAC RESOURCES NL","1986-07-24","Materials","N/A"
"APH","AUSTRALIAN PRIMARY HEMP LIMITED","2003-12-23","Food, Beverage & Tobacco",37192977
"API","AUSTRALIAN PHARMACEUTICAL INDUSTRIES LIMITED","1997-06-16","Health Care Equipment & Services",697108290
"APL","ANTIPODES GLOBAL INVESTMENT COMPANY LTD","2016-10-18","Not Applic",536116088
"APT","AFTERPAY LIMITED","2017-06-29","Software & Services",30760903013
"APV","APPSVILLAGE AUSTRALIA LIMITED","2019-08-27","Software & Services",6237249
"APW","AIMS PROPERTY SECURITIES FUND","2004-12-17","Real Estate",53969730
"APX","APPEN LIMITED","2015-01-07","Software & Services",1544590196
"APZ","ASPEN GROUP","1991-04-11","Real Estate",162333354
"AQC","AUSTRALIAN PACIFIC COAL LIMITED","1999-12-17","Materials",9592114
"AQD","AUSQUEST LIMITED","2003-11-25","Materials",17286986
"AQI","ALICANTO MINERALS LIMITED","2012-09-19","Materials",55737468
"AQN","AQUIRIAN LIMITED",,"Class Pend",0
"AQR","APN CONVENIENCE RETAIL REIT","2017-07-27","Real Estate",451752958
"AQS","AQUIS ENTERTAINMENT LIMITED","2011-12-02","Consumer Services",41656736
"AQX","ALICE QUEEN LIMITED","2004-09-09","Materials",17312213
"AQZ","ALLIANCE AVIATION SERVICES LIMITED","2011-12-20","Transportation",702942407
"AR3","AUSTRALIAN RARE EARTHS LIMITED","2021-07-01","Materials",71388600
"AR9","ARCHTIS LIMITED","2018-09-21","Software & Services",70321968
"ARA","ARIADNE AUSTRALIA LIMITED","1982-10-12","Commercial & Professional Services",105970874
"ARB","ARB CORPORATION LIMITED.","1987-06-26","Automobiles & Components",3716313567
"ARC","AUSTRALIAN RURAL CAPITAL LIMITED","2000-04-14","Diversified Financials",9528433
"ARD","ARGENT MINERALS LIMITED","2008-04-03","Materials",30689719
"ARE","ARGONAUT RESOURCES NL","1986-01-23","Materials",21637229
"ARF","ARENA REIT.","2013-06-13","Real Estate",1254301144
"ARG","ARGO INVESTMENTS LIMITED","1963-03-31","Not Applic",6583432526
"ARL","ARDEA RESOURCES LIMITED","2017-02-09","Materials",66256425
"ARN","ALDORO RESOURCES LIMITED","2018-09-13","Materials",33816805
"ARO","ASTRO RESOURCES NL","1986-08-14","Materials",16938869
"ARR","AMERICAN RARE EARTHS LIMITED","2011-02-17","Materials",29610516
"ART","AIRTASKER LIMITED","2021-03-23","Media & Entertainment",424314589
"ARU","ARAFURA RESOURCES LIMITED","2003-11-05","Materials",161567745
"ARV","ARTEMIS RESOURCES LIMITED","2007-03-16","Materials",69024871
"ARX","AROA BIOSURGERY LIMITED","2020-07-24","Pharmaceuticals, Biotechnology & Life Sciences",374839758
"AS1","ANGEL SEAFOOD HOLDINGS LTD","2018-02-21","Food, Beverage & Tobacco",21004731
"AS2","ASKARI METALS LIMITED","2021-07-07","Materials",8504200
"ASB","AUSTAL LIMITED","1998-12-08","Capital Goods",780240979
"ASG","AUTOSPORTS GROUP LIMITED.","2016-11-16","Retailing",462300000
"ASH","ASHLEY SERVICES GROUP LIMITED","2014-08-21","Commercial & Professional Services",61909639
"ASM","AUSTRALIAN STRATEGIC MATERIALS LIMITED","2020-07-30","Materials",1123023348
"ASN","ANSON RESOURCES LIMITED","2010-07-08","Materials",65280808
"ASO","ASTON MINERALS LIMITED","2011-03-04","Materials",133587640
"ASP","ASPERMONT LIMITED.","2000-04-27","Media & Entertainment",67776359
"ASQ","AUSTRALIAN SILICA QUARTZ GROUP LTD","2007-10-22","Materials",24655422
"AST","AUSNET SERVICES LIMITED","2005-12-14","Utilities",6932235720
"ASW","ADVANCED SHARE REGISTRY LIMITED","2008-06-10","Diversified Financials",40830525
"ASX","ASX LIMITED","1998-10-14","Diversified Financials",14959098168
"AT1","ATOMO DIAGNOSTICS LIMITED","2020-04-16","Health Care Equipment & Services",110876572
"ATC","ALTECH CHEMICALS LTD","2010-01-27","Materials",63037625
"ATH","ALTERITY THERAPEUTICS LIMITED","2000-03-28","Pharmaceuticals, Biotechnology & Life Sciences",86647485
"ATL","APOLLO TOURISM & LEISURE LTD","2016-11-04","Automobiles & Components",71668100
"ATM","ANEKA TAMBANG (PERSERO) TBK (PT)","1999-08-09","Materials","N/A"
"ATP","ATLAS PEARLS LTD","1993-12-31","Consumer Durables & Apparel",6845948
"ATR","ASTRON CORPORATION LIMITED","1983-11-11","Materials",58788997
"ATS","AUSTRALIS OIL & GAS LIMITED","2016-07-25","Energy",58150255
"ATU","ATRUM COAL LIMITED","2012-07-24","Materials",34915899
"ATX","AMPLIA THERAPEUTICS LIMITED","2013-12-23","Pharmaceuticals, Biotechnology & Life Sciences",26836588
"AU1","THE AGENCY GROUP AUSTRALIA LTD","2007-12-18","Real Estate",22285982
"AUA","AUDEARA LIMITED","2021-05-18","Consumer Durables & Apparel",10395000
"AUB","AUB GROUP LIMITED","2005-11-16","Insurance",1636877154
"AUC","AUSGOLD LIMITED","2009-12-16","Materials",68170030
"AUH","AUSTCHINA HOLDINGS LIMITED","2003-03-17","Energy",13072995
"AUI","AUSTRALIAN UNITED INVESTMENT COMPANY LIMITED","1974-01-01","Not Applic",1262053166
"AUK","AUMAKE LIMITED.","2011-12-07","Retailing",16135403
"AUL","AUSTAR GOLD LIMITED","2006-11-22","Materials",21360368
"AUN","AURUMIN LIMITED","2020-12-09","Materials",16046978
"AUP","AURORA PROPERTY BUY-WRITE INCOME TRUST","2007-07-26","Not Applic","N/A"
"AUQ","ALARA RESOURCES LIMITED","2007-05-24","Materials",9876009
"AUR","AURIS MINERALS LIMITED","2001-03-15","Materials",30504061
"AUT","AUTECO MINERALS LTD","2005-09-21","Materials",191725578
"AUZ","AUSTRALIAN MINES LIMITED","2001-09-28","Materials",91113439
"AV1","ADVERITAS LIMITED","2012-12-18","Software & Services",35892308
"AVA","AVA RISK GROUP LIMITED","2015-05-11","Technology Hardware & Equipment",102798746
"AVC","AUCTUS INVESTMENT GROUP LIMITED","2011-08-10","Diversified Financials",81573975
"AVE","AVECHO BIOTECHNOLOGY LIMITED","1993-08-09","Pharmaceuticals, Biotechnology & Life Sciences",34886214
"AVG","AUSTRALIAN VINTAGE LTD","1992-03-26","Food, Beverage & Tobacco",194531634
"AVH","AVITA MEDICAL INC.","2020-06-24","Pharmaceuticals, Biotechnology & Life Sciences",652271637
"AVJ","AVJENNINGS LIMITED","1994-01-27","Real Estate",247800744
"AVL","AUSTRALIAN VANADIUM LIMITED","2007-02-21","Materials",52760859
"AVN","AVENTUS GROUP","2015-10-16","Real Estate",1761258297
"AVR","ANTERIS TECHNOLOGIES LTD","2004-03-24","Health Care Equipment & Services",57634421
"AVW","AVIRA RESOURCES LTD","2013-01-09","Materials",6875200
"AVZ","AVZ MINERALS LIMITED","2007-09-14","Materials",627218673
"AWC","ALUMINA LIMITED","1961-10-31","Materials",4541131418
"AWJ","AURIC MINING LIMITED","2021-02-12","Materials",13497227
"AWN","AWN HOLDINGS LIMITED","2003-06-04","Capital Goods",29700150
"AWV","ANOVA METALS LIMITED","2011-05-18","Materials",25795696
"AX1","ACCENT GROUP LIMITED","2004-07-07","Retailing",1441365462
"AX8","ACCELERATE RESOURCES LIMITED","2018-02-14","Materials",5175977
"AXE","ARCHER MATERIALS LIMITED","2007-08-14","Materials",292602912
"AXI","AXIOM PROPERTIES LIMITED","1997-01-31","Real Estate",33318952
"AXP","AXP ENERGY LIMITED","2006-07-20","Energy",21053306
"AXT","ARGO EXPLORATION LIMITED","2006-12-11","Materials","N/A"
"AYI","A1 INVESTMENTS & RESOURCES LTD","2007-10-02","Diversified Financials",16421946
"AYM","AUSTRALIA UNITED MINING LIMITED","2011-09-19","Materials",14740620
"AZI","ALTA ZINC LIMITED","2009-12-24","Materials",23838558
"AZJ","AURIZON HOLDINGS LIMITED","2010-11-22","Transportation",6939454012
"AZS","AZURE MINERALS LIMITED","2003-12-16","Materials",75762752
"AZY","ANTIPA MINERALS LIMITED","2011-04-20","Materials",162832190
"BAP","BAPCOR LIMITED","2014-04-24","Retailing",2779788375
"BAR","BARRA RESOURCES LIMITED","2000-12-12","Materials",14229770
"BAS","BASS OIL LIMITED","2004-09-30","Energy",8355350
"BAT","BATTERY MINERALS LIMITED","2012-10-29","Materials",35748068
"BBC","BNK BANKING CORPORATION LIMITED","2012-05-22","Banks",85640550
"BBL","BRISBANE BRONCOS LIMITED","1989-05-12","Media & Entertainment",53922348
"BBN","BABY BUNTING GROUP LIMITED","2015-10-14","Retailing",748386884
"BBT","BLUEBET HOLDINGS LTD","2021-07-02","Consumer Services",370202851
"BBX","BBX MINERALS LIMITED","2005-08-12","Materials",103054832
"BC8","BLACK CAT SYNDICATE LIMITED","2018-01-30","Materials",80964491
"BCA","BLACK CANYON LIMITED","2021-05-05","Materials",9933459
"BCB","BOWEN COKING COAL LIMITED","1995-06-22","Materials",66535434
"BCC","BEAM COMMUNICATIONS HOLDINGS LIMITED","1986-11-06","Technology Hardware & Equipment",18387973
"BCI","BCI MINERALS LIMITED","2006-12-15","Materials",320770576
"BCK","BROCKMAN MINING LIMITED","2011-01-11","Materials",343331589
"BCN","BEACON MINERALS LIMITED","2006-10-20","Materials",125423415
"BCT","BLUECHIIP LIMITED","2011-06-09","Technology Hardware & Equipment",23317340
"BD1","BARD1 LIFE SCIENCES LIMITED","1991-04-18","Health Care Equipment & Services",144102087
"BDA","BOD AUSTRALIA LIMITED","2016-10-27","Retailing",35980133
"BDC","BARDOC GOLD LIMITED","2007-12-12","Materials",111056472
"BDG","BLACK DRAGON GOLD CORP.","2018-08-29","Materials",10172936
"BDM","BURGUNDY DIAMOND MINES LIMITED","2013-01-04","Materials",71046193
"BDX","BCAL DIAGNOSTICS LIMITED","2021-07-21","Class Pend",51718908
"BEE","BROO LTD","2016-10-14","Food, Beverage & Tobacco",13240542
"BEL","BENTLEY CAPITAL LIMITED","1986-11-07","Not Applic",9135350
"BEM","BLACKEARTH MINERALS NL","2018-01-19","Materials",24468560
"BEN","BENDIGO AND ADELAIDE BANK LIMITED","1985-12-19","Banks",5586377721
"BET","BETMAKERS TECHNOLOGY GROUP LTD","2015-12-11","Consumer Services",766925709
"BEX","BIKEEXCHANGE LIMITED","2021-02-09","Class Pend",64459100
"BFC","BESTON GLOBAL FOOD COMPANY LIMITED","2015-08-28","Food, Beverage & Tobacco",96907557
"BFG","BELL FINANCIAL GROUP LIMITED","2007-12-12","Diversified Financials",562905629
"BFL","BSP FINANCIAL GROUP LIMITED","2021-05-25","Banks",2476284142
"BGA","BEGA CHEESE LIMITED","2011-08-19","Food, Beverage & Tobacco",1631160651
"BGD","BARTON GOLD HOLDINGS LIMITED","2021-06-28","Materials",35123344
"BGL","BELLEVUE GOLD LIMITED","2005-12-20","Materials",820141962
"BGP","BRISCOE GROUP AUSTRALASIA LIMITED","2017-07-20","Retailing",945864275
"BGT","BIO-GENE TECHNOLOGY LTD","2017-11-29","Materials",22741524
"BHD","BENJAMIN HORNIGOLD LIMITED","2017-05-12","Not Applic",7729677
"BHL","BOYUAN HOLDINGS LIMITED","2016-10-31","Real Estate","N/A"
"BHP","BHP GROUP LIMITED","1885-08-13","Materials",146968526146
"BID","BILL IDENTITY LIMITED","2011-01-27","Software & Services",95322064
"BIN","BINGO INDUSTRIES LIMITED","2017-05-03","Commercial & Professional Services","N/A"
"BIQ","BUILDINGIQ, INC","2015-12-17","Software & Services","N/A"
"BIR","BIR FINANCIAL LIMITED","2006-07-31","Diversified Financials",3168764
"BIS","BISALLOY STEEL GROUP LIMITED","2003-06-23","Materials",58838849
"BIT","BIOTRON LIMITED","2001-01-24","Pharmaceuticals, Biotechnology & Life Sciences",40712097
"BKG","BOOKTOPIA GROUP LIMITED","2020-12-03","Retailing",354386991
"BKI","BKI INVESTMENT COMPANY LIMITED","2003-12-12","Not Applic",1211964256
"BKL","BLACKMORES LIMITED","1985-05-02","Household & Personal Products",1489997881
"BKT","BLACK ROCK MINING LIMITED","2003-12-10","Materials",118948508
"BKW","BRICKWORKS LIMITED","1962-06-30","Materials",3717146670
"BKY","BERKELEY ENERGIA LIMITED","2003-09-16","Energy",77694570
"BLD","BORAL LIMITED.","2000-02-21","Materials",8485836514
"BLG","BLUGLASS LIMITED","2006-09-22","Semiconductors & Semiconductor Equipment",30097338
"BLU","BLUE ENERGY LIMITED.","1994-10-13","Energy",87706246
"BLX","BEACON LIGHTING GROUP LIMITED","2014-04-15","Retailing",381879604
"BLY","BOART LONGYEAR LIMITED","2007-04-05","Materials",28323776
"BLZ","BLAZE MINERALS LIMITED","1996-09-12","Energy",10320004
"BMG","BMG RESOURCES LIMITED","2004-05-12","Materials",16199437
"BMH","BAUMART HOLDINGS LIMITED","2015-06-19","Capital Goods",27501504
"BML","BOAB METALS LIMITED","2004-07-15","Materials",62445872
"BMM","BALKAN MINING AND MINERALS LIMITED","2021-07-14","Materials",15300000
"BMN","BANNERMAN RESOURCES LIMITED","2005-04-28","Energy",160533600
"BMO","BASTION MINERALS LIMITED","2021-03-16","Materials",12559273
"BMR","BALLYMORE RESOURCES LIMITED",,"Materials",0
"BNL","BLUE STAR HELIUM LIMITED","1994-11-24","Energy",40162013
"BNO","BIONOMICS LIMITED","1999-12-21","Pharmaceuticals, Biotechnology & Life Sciences",171291446
"BNR","BULLETIN RESOURCES LIMITED","2010-12-20","Materials",11295464
"BNZ","BENZ MINING CORP.","2020-12-23","Materials",89314880
"BOA","BOADICEA RESOURCES LIMITED","2012-10-11","Materials",15928478
"BOC","BOUGAINVILLE COPPER LIMITED","1970-12-31","Materials",220584375
"BOE","BOSS ENERGY LTD","2007-07-25","Materials",353132827
"BOL","BOOM LOGISTICS LIMITED","2003-10-14","Capital Goods",74860486
"BOQ","BANK OF QUEENSLAND LIMITED.","1971-08-24","Banks",5671872633
"BOT","BOTANIX PHARMACEUTICALS LTD","1985-01-24","Pharmaceuticals, Biotechnology & Life Sciences",75905082
